,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,002194.SZ,20181130,6.38,6.6,6.14,6.53,6.39,0.14,2.1909,90188.81,57981.612
1,002194.SZ,20181129,6.98,7.07,6.39,6.39,6.73,-0.34,-5.052,191729.81,128318.598
2,002194.SZ,20181128,6.2,6.73,6.2,6.73,6.41,0.32,4.9922,151894.45,100168.146
3,002194.SZ,20181127,6.41,6.41,6.41,6.41,6.75,-0.34,-5.037,34247.0,21952.327
4,002194.SZ,20181126,7.1,7.1,6.75,6.75,7.1,-0.35,-4.9296,34407.0,23495.96
5,002194.SZ,20181123,7.45,7.47,7.01,7.1,7.11,-0.01,-0.1406,221822.7,160580.533
6,002194.SZ,20181122,7.0,7.11,6.86,7.11,6.77,0.34,5.0222,80802.21,56906.278
7,002194.SZ,20181121,6.42,6.77,6.26,6.77,6.45,0.32,4.9612,159936.13,105504.897
8,002194.SZ,20181120,6.3,6.45,6.3,6.45,6.14,0.31,5.0489,97788.79,62911.665
9,002194.SZ,20181119,5.92,6.14,5.91,6.14,5.85,0.29,4.9573,95651.0,58473.028
10,002194.SZ,20181116,5.7,5.85,5.66,5.85,5.57,0.28,5.0269,106878.87,61916.111
11,002194.SZ,20181115,5.57,5.7,5.49,5.57,5.63,-0.06,-1.0657,86004.62,47935.623
12,002194.SZ,20181114,5.64,5.88,5.5,5.63,5.65,-0.02,-0.354,128674.41,72880.409
13,002194.SZ,20181113,5.58,5.76,5.5,5.65,5.49,0.16,2.9144,181385.27,102919.58
14,002194.SZ,20181112,5.2,5.49,5.2,5.49,5.23,0.26,4.9713,126626.11,68564.633
15,002194.SZ,20181109,5.53,5.59,5.2,5.23,5.36,-0.13,-2.4254,203971.18,110527.633
16,002194.SZ,20181108,5.1,5.36,5.06,5.36,5.1,0.26,5.098,61437.23,32402.47
17,002194.SZ,20181107,4.85,5.1,4.84,5.1,4.86,0.24,4.9383,152546.69,77380.486
18,002194.SZ,20181106,5.31,5.31,4.81,4.86,5.06,-0.2,-3.9526,230063.66,115200.435
19,002194.SZ,20181105,5.06,5.06,5.06,5.06,4.82,0.24,4.9793,3351.01,1695.611
20,002194.SZ,20181102,4.82,4.82,4.82,4.82,4.59,0.23,5.0109,6171.0,2974.422
21,002194.SZ,20181101,4.59,4.59,4.59,4.59,4.37,0.22,5.0343,3909.0,1794.231
22,002194.SZ,20181031,4.37,4.37,4.37,4.37,4.16,0.21,5.0481,15272.0,6673.864
23,002194.SZ,20181030,4.02,4.22,4.02,4.16,4.02,0.14,3.4826,95846.55,39570.508
24,002194.SZ,20181029,3.95,4.06,3.91,4.02,3.95,0.07,1.7722,43034.0,17208.7
25,002194.SZ,20181026,3.85,4.0,3.81,3.95,3.82,0.13,3.4031,47497.0,18648.554
26,002194.SZ,20181025,3.7,3.84,3.69,3.82,3.88,-0.06,-1.5464,44303.0,16520.379
27,002194.SZ,20181024,3.9,3.97,3.85,3.88,3.94,-0.06,-1.5228,43890.25,17170.927
28,002194.SZ,20181023,3.9,4.06,3.86,3.94,3.92,0.02,0.5102,57029.47,22665.616
29,002194.SZ,20181022,3.81,3.93,3.8,3.92,3.74,0.18,4.8128,63991.0,25046.651
30,002194.SZ,20181019,3.63,3.75,3.57,3.74,3.65,0.09,2.4658,25538.0,9454.653
31,002194.SZ,20181018,3.71,3.74,3.62,3.65,3.76,-0.11,-2.9255,23244.0,8557.03
32,002194.SZ,20181017,3.78,3.78,3.66,3.76,3.71,0.05,1.3477,21831.0,8155.654
33,002194.SZ,20181016,3.71,3.81,3.68,3.71,3.72,-0.01,-0.2688,24299.0,9048.802
34,002194.SZ,20181015,3.7,3.84,3.65,3.72,3.67,0.05,1.3624,30453.0,11385.271
